id,full_name,orcid,wikidata,has_orcid,has_wikidata,lifespan,nationality,fields,notable_works,review_state
emmerson-gordon,Gordon Emmerson,0000-0003-1603-5120,Q108538768,y,y,,Australian,psychology; ego-state-therapy,emmerson-2007-ego-state-therapy,draft
ferrer-jorge,Jorge N. Ferrer,0000-0002-2884-0269,Q6277981,y,y,1968–,Spanish-American,transpersonal-psychology; philosophy; spirituality,ferrer-2002-revisioning-transpersonal-theory; ferrer-2011-participation-metaphysics-enlightenment; ferrer-2013-participation-and-spirit,draft
sherman-justin,Justin Sherman,0000-0002-8165-9258,Q6318129,y,y,,American,psychology; editor,ferrer-2008-participatory-turn,draft
fiore-edith,Edith Fiore,,Q136673082,,y,,American,hypnotherapy; regression-therapy; psychology,fiore-1978-you-have-been-here-before; fiore-1987-the-unquiet-dead; fiore-1989-encounters; fiore-2013-mistress-of-the-two-lands; fiore-2019-opening-the-closed-door; fiore-2021-ufo-abductions,verified
forte-robert,Robert Forte,,Q112413870,,y,,American,psychedelics; editor,forte-1997-entheogens-future-of-religion,draft
gilding-paul,Paul Gilding,,Q2754187,,y,1959–,Australian,sustainability; environmentalism,gilding-2011-great-disruption,draft
grof-stanislav,Stanislav Grof,,Q508620,,y,1931–2024,Czech-American,psychiatry; transpersonal-psychology,grof-1976-realms; grof-1980-lsd-psychotherapy; grof-1985-beyond-brain; grof-1988-adventure-self-discovery; grof-1998-cosmic-game; grof-2000-psychology-future; grof-2006-ultimate-journey,draft
hames-richard,Richard Hames,,Q22956806,,y,1946–,Australian,futures-studies; systems-thinking,hames-2010-real-global-emergency,draft
harvey-andrew,Andrew Harvey,0000-0003-3082-0440,Q110221171,y,y,1952–,British,spirituality; mysticism,harvey-2005-servant-of-transformed-future,draft
havens-joseph,Joseph Havens,,Q136673131,,y,1919–1994,American,religious-studies; psychology-of-religion; psychedelics,havens-1964-religious-implications-consciousness-changing-drugs; havens-1965-the-journal-of-a-college-student; havens-1968-psychology-and-religion-a-contemporary-dialogue; havens-1978-fifth-yoga-the-way-of-relationships,verified
hawken-paul,Paul Hawken,,Q1442418,,y,1946–,American,environmentalism; business; sustainability,hawken-1993-ecology-of-commerce; hawken-2007-blessed-unrest,draft
houston-jean,Jean Houston,,Q6170855,,y,1937–,American,psychology; human-potential; spirituality,houston-2004-jump-time,draft
hubbard-barbara-marx,Barbara Marx Hubbard,,Q2900061,,y,1929–2019,American,conscious-evolution; spirituality,hubbard-1998-conscious-evolution; hubbard-2001-emergence,draft
husserl-edmund,Edmund Husserl,,Q58586,,y,1859–1938,German,philosophy; phenomenology,husserl-1931-ideas,draft
huxley-aldous,Aldous Huxley,,Q81447,,y,1894–1963,British,literature; philosophy; psychedelics,huxley-1954-doors-of-perception; huxley-1977-moksha,draft
james-william,William James,,Q125249,,y,1842–1910,American,psychology; philosophy; religion,james-1902-varieties-of-religious-experience,draft
johnson-m,M. Johnson,,Q112698753,,y,,American,psychopharmacology; psychedelics,johnson-2008-human-hallucinogen-research-guidelines,draft
richards-william,William A. Richards,0000-0003-0730-9249,Q112561306,y,y,1940–,American,psychedelic-therapy; psychology,richards-2016-sacred-knowledge; pahnke-1966-implications-lsd-experimental-mysticism,draft
griffiths-roland,Roland Griffiths,0000-0001-5185-7854,Q85317587,y,y,1946–2023,American,psychopharmacology; psychedelics,johnson-2008-human-hallucinogen-research-guidelines,draft
jung-carl-g,Carl Gustav Jung,,Q41532,,y,1875–1961,Swiss,psychology; analytical-psychology; mysticism,jung-1961-memories-dreams-reflections,draft
klein-anne,Anne Carolyn Klein,,Q4768201,,y,,American,buddhist-studies; philosophy,klein-1995-meeting-great-bliss-queen,draft
korten-david,David C. Korten,,Q722422,,y,1937–,American,economics; sustainability; social-justice,korten-1995-when-corporations-rule-the-world; korten-2006-great-turning,draft
laszlo-ervin,Ervin Laszlo,,Q964137,,y,1932–,Hungarian,systems-theory; philosophy; consciousness-studies,laszlo-1994-macroshift; laszlo-2004-science-and-akashic-field; laszlo-2017-intelligence-of-cosmos,draft
leininger-bruce,Bruce Leininger,,Q136673138,,y,1953–,American,reincarnation; personal-narrative,leininger-2009-soul-survivor,verified
leininger-andrea,Andrea Leininger,,Q136673141,,y,,American,memoir; reincarnation,leininger-2009-soul-survivor,verified
gross-ken,Ken Gross,,Q136673149,,y,1940–2012,American,journalism; biography; fiction,gross-1978-fist; gross-1984-im-not-at-all-like-you; gross-1990-one-tough-cop-the-bo-dietl-story; gross-1991-rough-justice; gross-1992-hell-bent; gross-1992-ross-perot-the-man-behind-the-myth; gross-1994-a-high-pressure-system; gross-1995-full-blown-rage; gross-1997-the-talk-show-defense; gross-2002-i-got-the-show-right-here; leininger-2009-soul-survivor,verified
lipski-alexander,Alexander Lipski,,Q128239637,,y,1913–2009,Polish-American,religious-studies; indian-philosophy,lipski-2007-essential-sri-anandamayi-ma,draft
lommel-pim-van,Pim van Lommel,,Q598131,,y,1943–,Dutch,cardiology; near-death-studies,lommel-2010-consciousness-beyond-life,draft
lucas-winafred,Winafred Blake Lucas,,Q136673154,,y,1920–2002,American,psychology; regression-therapy,lucas-1993-regression-therapy-vol-1; lucas-1993-regression-therapy-vol-2; lucas-1994-the-adventure-of-george-the-dinosaur; lucas-2022-through-my-looking-glass,verified
macy-joanna,Joanna Macy,,Q4964805,,y,1929–,American,eco-philosophy; buddhism; systems-theory,macy-1991-world-as-lover; macy-2014-coming-back-to-life,draft
meadows-donella,Donella Meadows,,Q271226,,y,1941–2001,American,systems-analysis; sustainability,meadows-1972-limits-to-growth; meadows-1992-beyond-the-limits,draft
meadows-dennis,Dennis Meadows,,Q1189291,,y,1942–,American,systems-analysis; sustainability,meadows-1972-limits-to-growth; meadows-2004-limits-to-growth-update,draft
randers-jorgen,Jorgen Randers,0000-0002-2214-684X,Q2271800,y,y,1945–,Norwegian,climate-science; economics; sustainability,meadows-1972-limits-to-growth; meadows-2004-limits-to-growth-update,draft
metzner-ralph,Ralph Metzner,,Q2277534,,y,1936–2019,German-American,psychology; psychedelics,metzner-1997-sacred-vine-of-spirits; metzner-2015-allies-for-awakening,draft
monroe-robert,Robert A. Monroe,,Q547798,,y,1915–1995,American,consciousness-research; out-of-body-experiences,monroe-1985-far-journeys,draft
netherton-morris,Morris Netherton,,Q136673155,,y,1925–2020,American,psychotherapy; regression-therapy,netherton-1978-past-lives-therapy; netherton-1996-past-life-discovery-and-integration; netherton-2014-strangers-in-the-land-of-confusion; netherton-2015-the-netherton-method-of-past-life-therapy-training-manual,verified
paul-thomas,Thomas Paul,,Q63460895,,y,,American,psychology; regression-therapy,netherton-1978-past-lives-therapy,draft
newton-michael,Michael Newton,0000-0003-1649-4116,Q38804385,y,y,1931–2016,American,hypnotherapy; afterlife-research,newton-1995-journey-of-souls; newton-2000-destiny-of-souls; newton-2009-memories-of-afterlife,draft
nicol-david,David Nicol,0000-0003-0107-6990,Q102236531,y,y,,British,transpersonal-psychology; subtle-activism,nicol-2015-subtle-activism,draft
oroc-james,James Oroc,,Q136673158,,y,,Australian,psychedelics; journalism,oroc-2009-tryptamine-palace; oroc-2018-the-new-psychedelic-revolution; oroc-2023-under-the-influence,verified
osto-douglas,Douglas Osto,0000-0001-8090-5982,Q101320534,y,y,,British,religious-studies; buddhism,osto-2016-altered-states,draft
ott-jonathan,Jonathan Ott,0009-0006-4328-4228,Q102367959,y,y,1949–,American,ethnobotany; chemistry; psychedelics,ott-1993-pharmacotheon,draft
pahnke-walter,Walter N. Pahnke,,Q7965779,,y,1931–1971,American,psychiatry; theology; psychedelics,pahnke-1966-implications-lsd-experimental-mysticism,draft
pollan-michael,Michael Pollan,0000-0002-4328-1565,Q1138996,y,y,1955–,American,journalism; psychedelics; food-studies,pollan-2018-how-to-change-your-mind,draft
ring-kenneth,Kenneth Ring,,Q285368,,y,1935–,American,psychology; near-death-studies,ring-1980-life-at-death; ring-1984-heading-toward-omega; ring-1998-lessons-from-the-light,draft
valarino-evelyn,Evelyn Elsaesser Valarino,,Q95169971,,y,,Swiss,psychology; near-death-studies,elsaesser-valarino-1997-on-the-other-side-of-life,verified
rowan-john,John Rowan,0000-0002-5062-4044,Q113501203,y,y,1925–2018,British,psychology; humanistic-psychotherapy,rowan-1990-subpersonalities,draft
russell-peter,Peter Russell,,Q114922642,,y,1946–,British,consciousness; physics; philosophy,russell-1995-global-brain-awakens; russell-2009-waking-up-in-time,draft
satprem,Satprem,,Q633563,,y,1923–2007,French,spirituality; philosophy,satprem-1993-sri-aurobindo-adventure-of-consciousness,draft
shroder-tom,Tom Shroder,,Q7817571,,y,1954–,American,journalism; psychedelics; biography,shroder-2014-acid-test,draft
sheldrake-rupert,Rupert Sheldrake,,Q349077,,y,1942–,British,biology; philosophy-of-science,sheldrake-1981-new-science-of-life; sheldrake-1988-presence-of-the-past; sheldrake-1991-rebirth-of-nature,draft
shulgin-alexander,Alexander Shulgin,0000-0002-2660-5660,Q114972797,y,y,1925–2014,American,chemistry; pharmacology; psychedelics,shulgin-1991-pihkal; shulgin-1997-tihkal,draft
shulgin-ann,Ann Shulgin,,Q2561145,,y,1931–2022,American,psychotherapy; psychedelics,shulgin-1991-pihkal; shulgin-1997-tihkal,draft
smith-huston,Huston Smith,0000-0003-4218-4648,Q5950051,y,y,1919–2016,American,religious-studies; comparative-religion,smith-1964-do-drugs-have-religious-import; smith-2000-cleansing-doors-of-perception,draft
snow-robert,Robert L. Snow,,Q47112345,,y,1943–,American,law-enforcement; reincarnation,snow-1999-looking-for-carroll-beckwith,draft
stace-walter,Walter Terence Stace,,Q433728,,y,1886–1967,British,philosophy; mysticism,stace-1960-mysticism-and-philosophy,draft
stevenson-ian,Ian Stevenson,0000-0002-6920-3573,Q731300,y,y,1918–2007,Canadian-American,psychiatry; reincarnation-research,stevenson-1974-twenty-cases; stevenson-1997-reincarnation-and-biology,draft
stolaroff-myron,Myron J. Stolaroff,,Q6948497,,y,1920–2013,American,psychedelics; humanistic-psychology,stolaroff-1999-are-psychedelics-useful-in-buddhism,draft
strassman-rick,Rick Strassman,0000-0002-6979-1547,Q4354666,y,y,1952–,American,psychiatry; psychedelics,strassman-2001-dmt-spirit-molecule,draft
st-john-graham,Graham St. John,0000-0002-2020-5738,Q112343626,y,y,1969–,Australian,anthropology; culture; psychedelics,st-john-2015-mystery-school-in-hyperspace,draft
tarnas-richard,Richard Tarnas,,Q123928,,y,1950–,American,philosophy; cultural-history; archetypal-psychology,tarnas-1991-passion-of-western-mind; tarnas-2006-cosmos-and-psyche,draft
ten-dam-hans,Hans Ten Dam,,Q136673207,,y,1948–,Dutch,regression-therapy; spirituality,ten-dam-1990-exploring-reincarnation,draft
trachsel-daniel,Daniel Trachsel,0000-0001-8971-9473,Q89416133,y,y,,Swiss,chemistry; psychedelics,trachsel-2011-psychedelische-chemie,draft
tucker-jim,Jim B. Tucker,0009-0003-1895-4291,Q3244789,y,y,1960–,American,psychiatry; reincarnation-research,tucker-2008-life-before-life,draft
underhill-evelyn,Evelyn Underhill,,Q454734,,y,1875–1941,British,mysticism; theology,underhill-1911-mysticism,draft
von-franz-marie-louise,Marie-Louise von Franz,,Q60236,,y,1915–1998,Swiss,analytical-psychology; mythology,von-franz-1985-transformed-berserk,draft
wallace-wells-david,David Wallace-Wells,,Q61766571,,y,1982–,American,journalism; climate-change,wallace-wells-2019-uninhabitable-earth,draft
walsh-roger,Roger N. Walsh,0000-0002-7677-7583,Q3622980,y,y,1946–,Australian-American,psychology; transpersonal-psychology; psychiatry,walsh-2005-higher-wisdom,draft
grob-charles,Charles S. Grob,0000-0002-4863-2942,Q27916105,y,y,1950–,American,psychiatry; psychedelics,walsh-2005-higher-wisdom,draft
wambach-helen,Helen Wambach,,Q59532751,,y,1925–1986,American,psychology; reincarnation,wambach-1978-reliving-past-lives; wambach-1979-life-before-life,draft
waters-frank,Frank Waters,,Q100949175,,y,1902–1995,American,anthropology; spirituality; indigenous-studies,waters-1970-masked-gods,draft
watkins-john,John G. Watkins,,Q6234628,,y,1913–2012,American,psychology; hypnotherapy,watkins-1987-hypnotherapeutic-techniques,draft
weiss-brian,Brian L. Weiss,0000-0003-1576-3556,Q1822419,y,y,1944–,American,psychiatry; regression-therapy,weiss-1996-many-lives-many-masters,draft
whitton-joel,Joel L. Whitton,,Q112381155,,y,,Canadian,psychiatry; reincarnation-research,whitton-1986-life-between-life,draft
fisher-joe,Joe Fisher,,Q30126059,,y,1947–2001,Canadian,journalism; spirituality,whitton-1986-life-between-life,draft
wilber-ken,Ken Wilber,,Q309829,,y,1949–,American,philosophy; transpersonal-psychology; integral-theory,wilber-1980-atman-project; wilber-1995-sex-ecology-spirituality,draft
woolger-roger,Roger J. Woolger,,Q13522547,,y,1944–2011,British,psychotherapy; regression-therapy; spirituality,woolger-1988-other-lives-other-selves,draft
zaehner-r-c,R. C. Zaehner,,Q305089,,y,1913–1974,British,comparative-religion; mysticism,zaehner-1959-mysticism-sacred-and-profane,draft
zinser-thomas,Thomas Zinser,,Q136673161,,y,,American,psychotherapy; hypnosis; spirituality,zinser-2011-soul-centered-healing; zinser-2013-the-practice-of-soul-centered-healing-vol-1; zinser-2016-the-practice-of-soul-centered-healing-vol-2,verified
scientific-american,Scientific American,,Q188088,,y,,American,science; journalism,scientific-american-2014-end-the-ban-on-psychoactive-drug-research,draft
